name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Tejhaun Palmer,WR,2024,Ala-Birmingham,00-0039397,2024-04-30,,,,,,
Jordan Whittington,WR,2024,Texas,00-0039751,2024-04-30,,,,,,
Ryan Flournoy,WR,2024,SE Missouri St.,00-0039410,2024-04-30,,,,,,
Brenden Rice,WR,2024,USC,00-0039415,2024-04-30,,,,,,
Devaughn Vele,WR,2024,Utah,00-0039424,2024-04-30,,,,,,
Tahj Washington,WR,2024,USC,00-0039884,2024-04-30,,,,,,
Cornelius Johnson,WR,2024,Michigan,00-0039437,2024-04-30,,,,,,
Ashton Jeanty,RB,2025,Boise St.,00-0040122,2025-04-30,,,,,,
Omarion Hampton,RB,2025,North Carolina,00-0040666,2025-04-30,,,,,,
Quinshon Judkins,RB,2025,Ohio St.,00-0040784,2025-04-30,,,,,,
TreVeyon Henderson,RB,2025,Ohio St.,00-0040734,2025-04-30,,,,,,
RJ Harvey,RB,2025,Central Florida,00-0040730,2025-04-30,,,,,,
Kaleb Johnson,RB,2025,Iowa,00-0040142,2025-04-30,,,,,,
Bhayshul Tuten,RB,2025,Virginia Tech,00-0040719,2025-04-30,,,,,,
Cam Skattebo,RB,2025,Arizona St.,00-0040715,2025-04-30,,,,,,
Trevor Etienne,RB,2025,Georgia,00-0040644,2025-04-30,,,,,,
Woody Marks,RB,2025,USC,00-0040583,2025-04-30,,,,,,
Jarquez Hunter,RB,2025,Auburn,00-0040692,2025-04-30,,,,,,
Dylan Sampson,RB,2025,Tennessee,00-0040162,2025-04-30,,,,,,
Jordan James,RB,2025,Oregon,00-0040177,2025-04-30,,,,,,
Jaydon Blue,RB,2025,Texas,00-0040586,2025-04-30,,,,,,
DJ Giddens,RB,2025,Kansas St.,00-0040179,2025-04-30,,,,,,
Ollie Gordon,RB,2025,Oklahoma St.,00-0040198,2025-04-30,,,,,,
Devin Neal,RB,2025,Kansas,00-0040202,2025-04-30,,,,,,
Kalel Mullings,RB,2025,Michigan,00-0040205,2025-04-30,,,,,,
Tahj Brooks,RB,2025,Texas Tech,00-0040208,2025-04-30,,,,,,
Damien Martinez,RB,2025,Miami (FL),00-0040651,2025-04-30,,,,,,
Brashard Smith,RB,2025,SMU,00-0040078,2025-04-30,,,,,,
Kyle Monangai,RB,2025,Rutgers,00-0040236,2025-04-30,,,,,,
LeQuint Allen,RB,2025,Syracuse,00-0040238,2025-04-30,,,,,,
Phil Mafah,RB,2025,Clemson,00-0040021,2025-04-30,,,,,,
Jacory Croskey-Merritt,RB,2025,Arizona,00-0040242,2025-04-30,,,,,,
Travis Hunter,WR,2025,Colorado,00-0040718,2025-04-30,,,,,,
Tetairoa McMillan,WR,2025,Arizona,00-0040124,2025-04-30,,,,,,
Emeka Egbuka,WR,2025,Ohio St.,00-0040129,2025-04-30,,,,,,
Matthew Golden,WR,2025,Texas,00-0040667,2025-04-30,,,,,,
Jayden Higgins,WR,2025,Iowa St.,00-0040130,2025-04-30,,,,,,
Luther Burden,WR,2025,Missouri,00-0040735,2025-04-30,,,,,,
Tre Harris,WR,2025,Mississippi,00-0040727,2025-04-30,,,,,,
Cleveland Harris,WR,2025,Mississippi,HarrTr03,2025-04-30,,,,,,
Jack Bech,WR,2025,TCU,00-0040729,2025-04-30,,,,,,
Kyle Williams,WR,2025,Washington St.,00-0040131,2025-04-30,,,,,,
Isaac TeSlaa,WR,2025,Arkansas,00-0040669,2025-04-30,,,,,,
Pat Bryant,WR,2025,Illinois,00-0040134,2025-04-30,,,,,,
Jaylin Noel,WR,2025,Iowa St.,00-0040138,2025-04-30,,,,,,
Savion Williams,WR,2025,TCU,00-0040009,2025-04-30,,,,,,
Tai Felton,WR,2025,Maryland,00-0040154,2025-04-30,,,,,,
Chimere Dike,WR,2025,Florida,00-0040705,2025-04-30,,,,,,
Dont'e Thornton,WR,2025,Tennessee,00-0040581,2025-04-30,,,,,,
Arian Smith,WR,2025,Georgia,00-0040582,2025-04-30,,,,,,
Jaylin Lane,WR,2025,Virginia Tech,00-0040164,2025-04-30,,,,,,
Joshua Lane,WR,2025,Virginia Tech,LaneJa00,2025-04-30,,,,,,
Jalen Royals,WR,2025,Utah St.,00-0040646,2025-04-30,,,,,,
Elic Ayomanor,WR,2025,Stanford,00-0040170,2025-04-30,,,,,,
Jordan Watkins,WR,2025,Mississippi,00-0040172,2025-04-30,,,,,,
KeAndre Lambert-Smith,WR,2025,Auburn,00-0040184,2025-04-30,,,,,,
Tory Horton,WR,2025,Colorado St.,00-0040648,2025-04-30,,,,,,
LaJohntay Wester,WR,2025,Colorado,00-0040075,2025-04-30,,,,,,
Jimmy Horn,WR,2025,Colorado,00-0040218,2025-04-30,,,,,,
Tez Johnson,WR,2025,Oregon,00-0040237,2025-04-30,,,,,,
Ricky White,WR,2025,UNLV,00-0040653,2025-04-30,,,,,,
